Título,Autor,Ano,Tipo,Prioridade,Status,Disponivel,Categoria,Motivacao,Nota,Data_Leitura,Score
Dynamics of Software Development,Jim McCarthy,1995,Técnico,1 - Baixa,1,,Inteligência emocional,Como construir uma cultura de equipe produtiva e eficaz em projetos de desenvolvimento. Cultura de times,,,21
Design Patterns,Erich Gamma et al.,1994,Técnico,3 - Média-Alta,1,,Arquitetura,Use soluções clássicas para problemas recorrentes de software.,,,21
Guia Politicamente Incorreto da História do Brasil,Leandro Narloch,2009,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Visão alternativa da história brasileira,,,19
Guia Politicamente Incorreto da História do Mundo,Leandro Narloch,2011,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,História com visão crítica e provocadora,,,19
Practical Statistics for Data Scientists,"Peter Bruce, Andrew Bruce",2017,Técnico,2 - Média,1,,Estatística & Incerteza,,,,22
Alan Turing: Suas Máquinas e Seus Segredos,"Sílvia Amélia Bim, Silvio Luiz Bragatto Boss",2017,Técnico,1 - Baixa,1,,IA,Biografia e análise das contribuições de Alan Turing para a computação e IA. História da Computação e IA,,,20
"Mente, Cérebro e Ciência",John Searle,1984,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,"Aborda a filosofia da mente, consciência e a relação entre mente e cérebro, com foco em IA. Fundamentos de IA e Filosofia da Mente",,,20
Meditações,Marco Aurélio,0,Não Técnico,2 - Média,1,,Biohacking & Existência,"Reflexões sobre virtude, razão e tranquilidade interior.",,,20
A Cura Quântica,Deepak Chopra,1989,Não Técnico,2 - Média,1,,Biohacking & Existência,"Explorar a conexão entre mente, corpo e espírito na cura.",,,20
O Poder da Gratidão,Louise Hay,2008,Não Técnico,2 - Média,1,,Biohacking & Existência,Cultivar a gratidão para promover a saúde e a felicidade.,,,20
A Magia,Rhonda Byrne,2012,Não Técnico,2 - Média,1,,Biohacking & Existência,Praticar a gratidão para transformar a vida.,,,20
O Segredo,Rhonda Byrne,2006,Não Técnico,2 - Média,1,,Biohacking & Existência,"Descobrir o ""segredo"" para manifestar desejos e alcançar objetivos.",,,20
A Lei da Atração,Michael J. Losier,2007,Não Técnico,2 - Média,1,,Desenvolvimento pessoal,Compreender e aplicar os princípios da Lei da Atração.,,,20
O Poder do Agora na Prática,Eckhart Tolle,2001,Não Técnico,2 - Média,1,,Biohacking & Existência,Exercícios práticos para aplicar os ensinamentos de O Poder do Agora.,,,20
A Arte da Felicidade,"Dalai Lama, Howard C. Cutler",1998,Não Técnico,2 - Média,1,,Biohacking & Existência,Buscar a felicidade através da sabedoria budista.,,,20
A Morte é um Dia que Vale a Pena Viver,Ana Claudia Quintana Arantes,2016,Não Técnico,2 - Média,1,,Sistemas de IA & LLMs,Refletir sobre a vida e a finitude de forma leve e profunda.,,,20
Pratical MLOps,"Noah Gift, Alfredo Deza",2021,Técnico,2 - Média,1,PDF,Engenharia de ML & MLOps,,,,20
O Cérebro de Buda,Rick Hanson,2009,Não Técnico,2 - Média,1,,Biohacking & Existência,Aplicar a neurociência para cultivar a felicidade e a resiliência.,,,20
O Conto da Aia,Margaret Atwood,1985,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,"Reflexão sobre opressão, gênero e controle social.",,,22
Wuthering Heights,Emily Brontë,1847,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,"Romance intenso sobre paixão, vingança e tragédia.",,,22
Beloved,Toni Morrison,1987,Não Técnico,2 - Média,1,,História/Ficção,Explora os traumas da escravidão e a busca por liberdade.,,,22
A Hora da Estrela,Clarice Lispector,1977,Não Técnico,2 - Média,1,,Literatura Brasileira Clássica,"Reflexão sobre a condição humana e a existência, com estilo único.",,,20
Drácula,Bram Stoker,1897,Não Técnico,2 - Média,1,,História/Ficção,"Clássico do terror gótico, explora o bem e o mal.",,,22
Noite,Elie Wiesel,1960,Não Técnico,2 - Média,1,,História/Ficção,Testemunho impactante sobre a experiência no campo de concentração.,,,22
Jane Eyre,Charlotte Brontë,1847,Não Técnico,2 - Média,1,,História/Ficção,Romance gótico sobre independência feminina e superação.,,,22
A Metamorfose,Franz Kafka,1915,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,Crítica à burocracia e à alienação na sociedade moderna.,,,22
O herói e o fora da lei: Como construir marcas extraordinárias usando o poder dos arquétipos, Carol S. Pearson,2022,Não Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,17
Essencialismo: A Disciplinada Busca por Menos,Greg McKeown,2014,Não Técnico,2 - Média,1,,Sistemas de IA & LLMs,Focar no que é essencial e eliminar o que não é para maior produtividade e clareza.,,,20
Mindset: A Nova Psicologia do Sucesso,Carol S. Dweck,2006,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Compreender a diferença entre mentalidade fixa e de crescimento e como isso afeta o sucesso.,,,20
O Mito do Empreendedor,Michael E. Gerber,1986,Não Técnico,3 - Média-Alta,1,,Negócios,Entender os desafios de gerenciar um negócio e evitar armadilhas comuns.,,,20
Data science handbook,Jake Klamka,2020,Técnico,2 - Média,1,PDF,Estatística & Incerteza,"The Data Science Handbook is a compilation of in-depth interviews with 25 remarkable data scientists, where they share their insights, stories, and advice.",,,22
Padrões para Kubernetes,Bilgin Ibryam,2019,Técnico,1 - Baixa,1,,MLOps,Melhores práticas e padrões de design para construir e operar aplicações em Kubernetes. Melhores práticas para arquitetura em nuvem,,,19
Data Mesh: Delivering Data-Driven Value at Scale,Zhamak Dehghani,2022,Técnico,1 - Baixa,1,,Engenharia de dados,A nova abordagem descentralizada de dados.,,,19
Fundamentals of Data Engineering,"Joe Reis, Matt Housley",2022,Técnico,1 - Baixa,1,,Engenharia de ML & MLOps,Construa base sólida em engenharia de dados moderna.,,,19
Beginning Microsoft Power BI,Dan Clark,2020,Técnico,1 - Baixa,1,,Estatística & Incerteza,Guia prático para usar o Power BI na análise e visualização de dados. Ferramenta essencial para análise de dados,,,19
Business unIntelligence,Barry Devlin,2013,Técnico,1 - Baixa,1,,Análise de Dados,Crítica à inteligência de negócios tradicional e propõe uma evolução para um BI mais estratégico. Para visão estratégica de dados,,,19
Como Criar uma Mente: Os segredos do pensamento humano,Raymond Kurzweil,2012,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explora como o cérebro humano funciona e a possibilidade de replicá-lo artificialmente. IA e MLOps,,,19
Emotion Machine,Marvin Minsky,2006,Técnico,1 - Baixa,1,,MLOps,Teoria sobre como a mente humana funciona e como as emoções são construídas. IA e MLOps,,,19
Homo Deus: Uma Breve História do Amanhã,Yuval Noah Harari,2015,Não Técnico,1 - Baixa,1,,Cosmologia & Fronteiras da Ciência,Refletir sobre o futuro da humanidade e o impacto da tecnologia.,,,19
A Ciência De Como Não Estar Errado,Jordan Ellenberg,0,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,14
Dados e storytelling de impacto,Brent Dykes,0,Técnico,1 - Baixa,1,,Análise de Dados,,,,14
"Estatística: O que é, para que serve",Charles Wheelan,0,Técnico,1 - Baixa,1,,Estatística & Incerteza,,,,14
Factfulness,Hans Rosling,0,Técnico,1 - Baixa,1,,Análise de Dados,,,,14
O Andar do Bêbado,Leonard Mlodinow,0,Técnico,1 - Baixa,1,,Cosmologia & Fronteiras da Ciência,,,,14
Uma Senhora Toma um Chá,David Salsburg,0,Técnico,1 - Baixa,1,,Análise de Dados,,,,14
Do Mil ao Milhão: Sem Cortar o Cafezinho,Thiago Nigro,2018,Não Técnico,2 - Média,1,,Liberdade Econômica & Finanças,Aprender sobre investimentos e finanças pessoais de forma prática e acessível.,,,19
Rápido e Devagar: Duas Formas de Pensar,Daniel Kahneman,2011,Não Técnico,1 - Baixa,1,,Inteligência emocional,Entender como a mente toma decisões e evitar vieses.,,,19
Armada,Ernest Cline,2015,Não Técnico,1 - Baixa,1,Estante,Épicos & Ficção Reflexiva,Sci-fi com videogames e conspiração,,,19
Algoritmos - Teoria e Prática,Thomas H. Cormen,2012,Técnico,2 - Média,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,18
A Divina Comédia: Inferno,Dante Alighieri,1320,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Poema épico sobre o inferno,,,16
A Divina Comédia: Paraíso,Dante Alighieri,1320,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Conclusão da jornada divina,,,16
A Divina Comédia: Purgatório,Dante Alighieri,1320,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Continuação da jornada espiritual,,,16
Social Media Mining,Reza Zafarani,2014,Técnico,2 - Média,1,PDF,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,20
As Crônicas de Nárnia,C. S. Lewis,1950,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Fantasia e alegoria cristã,,,16
Dr. Gerald Musgrave,Owen Thornton,2020,Não Técnico,1 - Baixa,1,Estante,História/Ficção,Thriller médico e psicológico,,,19
O Caminho do Artista,Julia Cameron,1992,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Desbloquear a criatividade e a expressão pessoal.,,,18
Mostre seu Trabalho!,Austin Kleon,2014,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Aprender a compartilhar seu processo criativo e construir uma audiência.,,,18
Storybrand: Crie Mensagens Claras e Atraia a Atenção dos Clientes Para sua Marca,Donald Miller ,2019,Não Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,15
Roube como um Artista,Austin Kleon,2012,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Inspirar a criatividade através da apropriação e transformação de ideias.,,,18
A Revolução dos Bichos,George Orwell,1945,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,Crítica a regimes totalitários e manipulação.,,,18
O Segundo Sexo,Simone de Beauvoir,1949,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,"Clássico do feminismo, fundamental para entender a condição feminina.",,,18
A Cor Púrpura,Alice Walker,1982,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,Luta contra o racismo e o machismo no sul dos EUA.,,,18
O Que É Lugar de Fala?,Djamila Ribeiro,2017,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,Refletir sobre a importância da representatividade e da voz de grupos marginalizados.,,,18
Gender Queer: A Memoir,Maia Kobabe,2019,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,Explorar a identidade de gênero e sexualidade através de uma perspectiva pessoal e inclusiva.,,,18
Refatoração,Martin Fowler,2019,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),Melhore código com boas práticas e elegância.,,,17
Estruturas de dados e algoritmos com JavaScript,Loiane Groner,2016,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),Implemente lógica essencial com uma linguagem prática.,,,17
An Introduction to the Analysis of Algorithms,"Robert Sedgewick, Philippe Flajolet",2013,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),"Análise matemática de algoritmos, complexidade e desempenho. Base sólida de análise de algoritmos",,,17
The Mythical Man-Month,Frederick P. Brooks Jr.,1975,Técnico,1 - Baixa,1,,Programação,"Reflexões sobre gerenciamento de projetos de software, seus desafios e lições aprendidas. Gestão de projetos de software",,,17
The Art of Software Testing,Glenford J. Myers,1979,Técnico,1 - Baixa,1,,Programação,Princípios e técnicas de teste de software para garantir a qualidade. Importante para qualidade de software,,,17
Reinforcement Learning,Richard Sutton,2020,Técnico,1 - Baixa,1,PDF,Machine learning,,,,19
Object-Oriented Software Construction,Bertrand Meyer,1988,Técnico,1 - Baixa,1,,Programação,Aborda conceitos avançados de programação orientada a objetos e engenharia de software. Conceitos avançados de POO,,,17
The Art of Computer Programming (Volumes 1-3),Donald Knuth,1968,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),"Obra-prima sobre algoritmos, estruturas de dados e técnicas de programação. Obra-prima sobre algoritmos",,,17
Structure and Interpretation of Computer Programs,"Harold Abelson, Gerald Jay Sussman",1984,Técnico,1 - Baixa,1,,Programação,"Conceitos fundamentais de computação, programação e sistemas de forma profunda. Conceitos profundos de computação",,,17
Engenharia de Software: Uma abordagem profissional,Roger S. Pressman,2019,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Uma referência clássica e abrangente sobre os princípios e práticas da engenharia de software. Referência clássica,,,17
Conversas Dificeis,"Douglas Stone, Bruce Patton e Sheila Heen",1999,Não Técnico,1 - Baixa,1,,Comunicação,Melhorar habilidades de comunicação em situações desafiadoras.,,,17
Resolução de Conflitos,Daniel Dana,1981,Não Técnico,1 - Baixa,1,,Comunicação,Desenvolver estratégias eficazes para gerenciar e resolver conflitos.,,,17
Por que Dormimos,Matthew Walker,2017,Não Técnico,1 - Baixa,1,,Biohacking & Existência,Compreender a importância do sono para a saúde física e mental.,,,17
O Corpo Explica,Cristina Cairo,1999,Não Técnico,1 - Baixa,1,,Bem-estar,Entender a relação entre emoções e doenças físicas (perspectiva alternativa).,,,17
O Jeito Harvard de Ser Feliz,Shawn Achor,2010,Não Técnico,1 - Baixa,1,,Bem-estar,Cultivar a felicidade para aumentar a produtividade e o sucesso.,,,17
Radical Candor,Kim Scott,2017,Não Técnico,1 - Baixa,1,,Liderança & Pensamento Estratégico,,,,15
The Business Forecasting Deal,Michael Gilliland,2010,Técnico,1 - Baixa,1,,Negócios,Discute a arte e a ciência da previsão de negócios de forma realista e prática. Práticas realistas em previsão de negócios,,,16
Designing Data-Intensive Applications,Martin Kleppmann,2017,Técnico,1 - Baixa,1,,Arquitetura,Entenda os bastidores de aplicações escaláveis e robustas.,,,15
Building Microservices,Sam Newman,2015,Técnico,1 - Baixa,1,,Arquitetura,"Um guia prático sobre como projetar, construir e operar microserviços. Arquiteturas distribuídas",,,15
Domain-Driven Design,Eric Evans,2003,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Ataque a complexidade modelando o domínio corretamente.,,,15
Analysis Patterns,Martin Fowler,1996,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),Coleção de padrões para modelagem de sistemas complexos de software e negócios. Modelagem de sistemas complexos,,,15
The Ancient Art of the Numerati,Ron Zacharski,2015,Não Técnico,1 - Baixa,1,PDF,Conhecimento geral,https://github.com/zacharski/pg2dm-python,,,17
Foundations of Computer Vision,Antonio Torralba,2024,Técnico,3 - Média-Alta,0,PDF,Visão computacional,"Introdução abrangente aos fundamentos da visão computacional, incluindo avanços recentes em deep learning.",5.0,2025/11,0
Como mentir com estatística,Darrell Huff,2016,Técnico,1 - Baixa,0,PDF,Análise de Dados,,3.0,2025/11,0
Quebrando o habito de ser voce mesmo,Joe Dispenza,2012,Não Técnico,2 - Média,0,PDF,Desenvolvimento pessoal,,1.0,2025/10,0
Diário de uma princesa (coleção),Meg Cabot,2000,Não Técnico,1 - Baixa,0,,História/Ficção,"Literatura juvenil, crescimento pessoal, humor e leveza.",5.0,2008/01,0
Querido John,Nicholas Sparks,2006,Não Técnico,1 - Baixa,0,ATA,História/Ficção,"Romance, superação, desafios em relacionamentos à distância.",5.0,2008/02,0
A Última Música,Nicholas Sparks,2009,Não Técnico,1 - Baixa,0,Estante,História/Ficção,"Romance, drama familiar, reflexão sobre relacionamentos.",4.0,2008/03,0
Dom Casmurro,Machado de Assis,1899,Não Técnico,1 - Baixa,0,ATA,Literatura Brasileira Clássica,"Clássico da literatura brasileira, reflexão sobre ciúmes e percepção.",5.0,2009/01,0
Percy Jackson (coleção),Rick Riordan,2005,Não Técnico,1 - Baixa,0,,História/Ficção,"Literatura juvenil, mitologia grega, aventura e imaginação.",3.0,2010/01,0
A Culpa é das Estrelas,John Green,2012,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Romance jovem e comovente,5.0,2010/04,0
O triste fim de policarpo quaresma,Lima Barreto,1911,Não Técnico,1 - Baixa,0,ATA,Literatura Brasileira Clássica,"Clássico da literatura brasileira, crítica social e política.",2.0,2010/08,0
Vidas Secas,Graciliano Ramos,1938,Não Técnico,2 - Média,0,ATA,Literatura Brasileira Clássica,Retrato da seca e da miséria no sertão nordestino.,2.0,2012/02,0
Memórias Póstumas de Brás Cubas,Machado de Assis,1881,Não Técnico,2 - Média,0,ATA,Literatura Brasileira Clássica,"Clássico da literatura brasileira, crítica social e humor ácido.",4.0,2013/06,0
O lado bom da vida,Matthew Quick,2008,Não Técnico,1 - Baixa,0,ATA,História/Ficção,"Reflexão sobre saúde mental, superação e otimismo.",5.0,2013/11,0
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,Não Técnico,2 - Média,0,Estante,História/Ficção,"Reflexões sobre amizade, amor e o sentido da vida.",5.0,2015/05,0
O Cão dos Baskerville,Arthur Conan Doyle,1902,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Caso mais famoso de Holmes,5.0,2019/12,0
O Signo dos Quatro,Arthur Conan Doyle,1890,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Exploração do passado e mistério,4.0,2019/12,0
O Vale do Medo,Arthur Conan Doyle,1915,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Última novela de Sherlock Holmes,4.0,2019/12,0
Um Estudo em Vermelho,Arthur Conan Doyle,1887,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Primeira aparição de Sherlock Holmes,5.0,2019/12,0
O Diário de Anne Frank,Anne Frank,1947,Não Técnico,2 - Média,0,ATA,História/Ficção,Relato emocionante da vida durante o Holocausto.,5.0,2020/07,0
Orgulho e Preconceito,Jane Austen,1813,Não Técnico,2 - Média,0,Estante,Épicos & Ficção Reflexiva,Crítica social e romance sobre costumes e classes na Inglaterra.,5.0,2023/03,0
Coragem para liderar,Brene Brown,2019,Não Técnico,4 - Alta,0,PDF,Liderança,Essencial para aprendizado sobre si e para coragem!,5.0,2025/04,0
Entendendo Algoritmos,Aditya Bhargava,2016,Técnico,1 - Baixa,0,PDF,Artesanato de Software (Clean Code),Uma base sólida em algoritmos é fundamental para o desenvolvimento de sistemas e a resolução eficiente de problemas. Este livro é didático e ideal para fortalecer sua lógica de programação.,4.0,2025/04,0
O Programador Pragmático,Andrew Hunt e David Thomas,1999,Não Técnico,3 - Média-Alta,0,Estante,Artesanato de Software (Clean Code),Melhores práticas para programadores,3.0,2025/04,0
Código Limpo,"Robert C. Martin, Leandro Chu",2008,Técnico,1 - Baixa,0,PDF,Artesanato de Software (Clean Code),É uma leitura obrigatória e indispensável para qualquer desenvolvedor. A aplicação das boas práticas ensinadas aqui terá um impacto direto na qualidade do seu código e na sua colaboração em equipe no estágio.,3.0,2025/05,0
The Quick Python Book,Naomi Ceder,2025,Técnico,4 - Alta,0,PDF,Artesanato de Software (Clean Code),"É o ponto de partida ideal para quem está começando ou quer solidificar conhecimentos em Python. Dada sua atuação com Python, Machine Learning e Visão Computacional, este livro oferece a base sólida e atualizada que você precisa. Sua didática o torna acessível e eficaz.",4.0,2025/05,0
Deep Learning with Python,François Chollet,2021,Técnico,4 - Alta,0,PDF,Sistemas de IA & LLMs,"Essencial para sua área de interesse em IA e MLOps. François Chollet é o criador do Keras, o que garante uma perspectiva prática e autoritária sobre o assunto.",3.0,2025/07,0
Storytelling with Data,Cole Nussbaumer Knaflic,2015,Técnico,4 - Alta,0,PDF,Storytelling & Visualização,É a ponte entre a análise técnica de dados e o mundo dos negócios. A capacidade de comunicar seus resultados de forma clara e persuasiva é crucial para apresentar insights e gerar valor.,4.0,2025/07,0
Super Thinking The Big Book of Mental Models,Gabriel Weinberg,2019,Não Técnico,4 - Alta,0,PDF,Conhecimento geral,Desenvolver frameworks e atalhos mentais para cortar a complexidade e tomar melhores decisões.,5.0,2025/08,0
Operação Miami,James Grippando,2006,Não Técnico,2 - Média,0,Estante,Sistemas de IA & LLMs,Suspense moderno e investigação policial,4.0,2025/08,0
A história da Inteligência Artificial para quem tem pressa,Peter J. Bentley,2025,Não Técnico,4 - Alta,0,PDF,Sistemas de IA & LLMs,Compreender a evolução da IA e seus impactos.,4.0,2025/09,0
